fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231113 051834	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1708	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0203375685426761	0.96106245887038	578	15726	8876	847.367.456.271.864	45
20231113 024753	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2246	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200249383201717	0.989424029252577	742	16437	8635	844.412.168.915.542	38
20231112 211724	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1237	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020006863394143	0.760284890001962	736	10093	8793	844.045.622.188.905	24
20231113 001948	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	624	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200082492376967	0.736163619605965	926	7342	9318	841.635.852.073.963	32
20231112 201524	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	427	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0370763370923709	0.750145873848377	923	8047	9103	836.966.911.544.228	21
20231112 214226	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200307718536479	0.772385765788723	605	17556	10573	836.022.733.633.183	25
20231113 074504	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1058	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200859991391319	0.995976495666155	635	14754	9566	835.934.822.588.706	50
20231113 125550	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1401	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201636296336772	0.769985598015242	991	19966	9209	835.775.197.401.299	61
20231113 021348	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1402	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200822573027128	0.547398440103284	991	8336	9134	834.796.911.544.228	37
20231113 030526	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	777	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0202061238035548	0.971460017887182	953	9605	8873	834.710.889.555.222	39
20231113 144358	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1388	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200864375510518	0.739816934665104	752	20380	8857	832.794.407.796.102	66
20231113 065817	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1602	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0202131230580966	0.946690383525009	690	17813	9153	832.677.706.146.927	48
20231113 045050	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	281	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0503640237496441	0.632458068348666	1019	7373	8825	832.626.211.894.053	44
20231112 203725	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1189	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200017430899182	0.999675710330207	1022	11776	9250	832.297.901.049.475	22
20231113 110437	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7875	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200828970554828	0.474546181997992	8	49619	9550	832.206.246.876.562	56
20231113 044023	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1228	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020050508856119	0.534109809733088	698	15887	8755	831.281.134.432.784	43
20231112 225149	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200686472148519	0.991621810136357	686	6451	8424	829.767.476.261.869	28
20231113 135143	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2734	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0250120746272909	0.982828852623586	8	46424	10292	829.741.309.345.327	64
20231112 193414	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	785	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0390298686891629	0.999996573774282	573	6338	9186	829.455.362.318.841	18
20231113 085439	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2483	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200613907215243	0.997769946333251	171	49962	10087	829.402.853.573.213	54
20231112 231720	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1368	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200562627140717	0.273668916814161	731	12616	9141	829.209.260.369.815	29
20231112 191436	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1002	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020067090520191	0.304155989195136	587	7445	9718	827.612.063.968.016	17
20231113 062756	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1083	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201855107225931	0.746214227924127	499	8825	8175	827.451.949.025.487	47
20231113 000323	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1041	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0362922905468637	0.684247040160548	697	11486	8699	826.573.048.475.762	31
20231112 194852	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	224	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0387539740898929	0.505149037017036	1024	153	9036	824.567.256.371.814	19
20231112 221041	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2451	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020004478011912	0.997332433434308	287	49975	9547	823.967.271.364.318	26
20231113 131644	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1287	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201135346779238	0.987270188033693	548	20982	9057	823.581.414.292.854	62
20231112 173149	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	8055	822.075.837.081.459	9
20231113 080729	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201504311405935	0.763166879797822	195	10421	9858	822.053.343.328.336	51
20231113 112119	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1210	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200758035835142	0.998240594665265	59	49868	11097	821.854.677.661.169	57
20231113 003347	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201055026299754	0.748278972154831	710	304	8577	820.073.368.315.842	33
20231113 035535	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	315	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0202972287783523	0.63561638012538	939	153	8695	819.261.844.077.961	41
20231113 081706	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	313	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0355583073171613	0.994530231131683	665	15843	8866	818.167.206.396.802	52
20231112 184318	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.043101552578737	0.783719447433541	24	14711	11355	817.975.187.406.297	15
20231113 091406	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1941	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200504711115201	0.991814027573279	97	1341	8530	817.294.602.698.651	55
20231112 234414	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2220	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0354105219937373	0.91180567158863	466	35565	9412	816.818.770.614.693	30
20231112 171131	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	554	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	9031	813.163.133.433.283	7
20231113 013710	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	536	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0242314111342706	0.272606256719559	1024	202	7408	811.619.110.444.778	36
20231113 082608	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0955769308159359	0.999762126382071	400	19611	11315	811.128.410.794.603	53
20231112 205048	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1076	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0313721602453129	0.0802009144972277	1024	10036	8950	810.000.749.625.187	23
20231113 034101	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2637	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200771582229552	0.226784038136722	359	42177	9613	809.924.382.808.596	40
20231112 182851	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1885	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	10541	806.250.939.530.235	13
20231112 200231	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	348	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0428349191852534	0.486929166513807	412	104	8550	804.511.294.352.824	20
20231112 164517	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	9235	799.456.846.576.712	5
20231113 112840	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	808	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.158591624577547	0.778197868255387	8	49967	9915	798.485.732.133.933	58
20231112 162820	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	302	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	11796	797.215.132.433.783	3
20231112 174529	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	9700	797.112.143.928.036	11
20231112 175754	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	632	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	7680	796.145.927.036.482	12
20231113 123324	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	844	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200568535888288	0.60160646272651	133	49986	8305	792.725.162.418.791	60
20231112 161719	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	8830	789.246.326.836.582	2
20231113 060602	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8977	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0202396685612204	0.0100749309354878	1022	49266	10801	779.035.247.376.312	46
20231112 163906	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	8956	775.931.774.112.944	4
20231113 121348	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8365	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200677770122214	0.0148213934282915	8	28186	10564	771.471.924.037.981	59
20231112 173719	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	11665	757.934.357.821.089	10
20231112 185026	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.286950974153588	0.195369304275955	779	32398	8033	751.746.371.814.093	16
20231112 160859	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	7622	744.638.310.844.578	1
20231112 183738	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.271255173852551	0.65879299230277	253	1794	7198	703.452.143.928.036	14
20231113 072525	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1777	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201794845657089	0.994151388090374	382	16312	9457	83.960.620.189.905	49
20231113 005201	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	914	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200773684708904	0.748143572467995	909	12524	8148	83.211.816.091.954	34
20231113 040903	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0406651214440398	0.596901633280913	1024	6358	9124	83.155.648.175.912	42
20231113 133155	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	982	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0203801386949692	0.998577738268829	221	40864	10856	82.951.588.205.897	63
20231113 012000	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2058	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020086507482712	0.999880680500296	311	23817	11023	82.535.131.934.033	35
20231113 142201	604	2041281	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201226105492453	0.999590238104185	377	40505	10948	82.436.323.838.081	65
