fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231121 015710	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	8194	77452554.7226387	1
20231121 020400	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	8980	75787716.141929	2
20231121 021554	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	10434	81482119.94003	3
20231121 022355	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	10127	79151959.5202399	4
20231121 022849	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	9601	77846013.4932534	5
20231121 023440	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	689	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.156385578808258	0.0193446946676704	559	23378	7986	76697380.3098451	6
20231121 024343	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	7837	77414903.0484758	7
20231121 025057	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.170419282851508	0.586586416774517	942	46272	12084	75264573.7131434	8
20231121 025945	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	8827	83192929.0354823	9
20231121 030510	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	9160	76361079.4602699	10
20231121 031039	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	10330	80452178.9105447	11
20231121 032509	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	917	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	9182	81330757.6211894	12
20231121 035741	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	10082	82551997.0014993	13
20231121 040354	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.271255173852551	0.65879299230277	253	1794	8097	70080120.4397801	14
20231121 042401	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2703	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.043101552578737	0.783719447433541	24	14711	9680	83009435.2823588	15
20231121 042844	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.286950974153588	0.195369304275955	779	32398	10308	72441821.0894553	16
20231121 045435	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1542	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200637992269211	0.333124276785489	66	9269	8207	81796357.3213393	17
20231121 051122	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	686	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0416285361956139	0.403363937706469	874	15381	9178	83766533.7331334	18
20231121 053237	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3743	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0452556408848892	0.0106834686835046	430	17729	9043	80468855.0724638	19
20231121 054709	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	455	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0357710499521233	0.73090766382152	1022	4066	8818	84425884.057971	20
20231121 055357	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0733033084873554	0.9991955736293	1021	9679	11664	79569031.4842579	21
20231121 060915	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	735	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0329862945499683	0.674954796548474	701	7402	9606	81657970.0149925	22
20231121 061945	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0418316431935931	0.440354182426428	1024	262	9782	82575155.4222888	23
20231121 063924	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1305	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201584117143856	0.776587110982799	1024	16745	10496	82619814.0929535	24
20231121 065609	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	918	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0411005027824973	0.272944590914184	901	14201	8374	81990415.7921039	25
20231121 070737	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	629	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.041503788538712	0.755375894947727	1024	19167	10137	81385067.966017	26
20231121 072235	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	425	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0330083185102818	0.605276598801129	916	102	9220	79810564.7176412	27
20231121 073846	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	259	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.020013398569371	0.777111357832147	879	827	9146	85071073.4632684	28
20231121 075608	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	638	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0201164359207409	0.769310706333569	353	3078	9809	83095180.9095452	29
20231121 080816	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	251	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0299952035269611	0.8144917306948	897	3024	8286	83384286.8565717	30
20231121 081705	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	184	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0858357058331241	0.364386527042483	1024	8950	8275	82197438.7806097	31
20231121 082810	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0583267892685191	0.341832648992118	423	21937	10747	80299035.982009	32
20231121 083735	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	572	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0770217213160823	0.209488899439996	65	112	8730	78150749.6251874	33
20231121 090113	604	1884614	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1013	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200412649167205	0.397789718628461	737	7259	10173	83187380.8095952	34
