fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231121 012713	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	10894	78503639.1804098	1
20231121 013418	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	70	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	8894	81159091.4542729	2
20231121 014529	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	382	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	12293	79709279.86007	3
20231121 015349	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	10315	76788583.2083958	4
20231121 015911	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	8384	77057847.0764618	5
20231121 020703	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1057	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.156385578808258	0.0193446946676704	559	23378	10582	76944230.8845577	6
20231121 021652	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	10546	79994691.6541729	7
20231121 022508	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.170419282851508	0.586586416774517	942	46272	9007	79895547.7261369	8
20231121 023412	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	8565	80743950.5247376	9
20231121 023857	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	10912	81072551.7241379	10
20231121 024554	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	9953	78925601.6991504	11
20231121 025929	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	834	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	10002	80852266.8665667	12
20231121 032528	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1636	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	11719	81557524.7376312	13
20231121 033148	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.271255173852551	0.65879299230277	253	1794	9011	71601600.6996502	14
20231121 034257	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1153	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.043101552578737	0.783719447433541	24	14711	8859	84011547.7261369	15
20231121 034921	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	240	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.286950974153588	0.195369304275955	779	32398	9509	74527894.5527236	16
20231121 040137	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	525	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0324429002902075	0.630393288348063	132	9951	7768	83200831.5842079	17
20231121 040718	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	699	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0630851903086928	0.776206554293029	8	5032	10957	79453823.5882059	18
20231121 041748	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	570	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0389067493106441	0.711492170220033	133	23836	10602	83078973.5132434	19
20231121 042820	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0421329676946985	0.320372030838515	40	13543	8398	80449142.4287856	20
20231121 044321	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2643	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0367946295867732	0.866580834828783	8	6828	9243	81131283.858071	21
20231121 045803	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	834	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0265429208234685	0.76289425134665	240	15662	10437	82246687.1564218	22
20231121 050935	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	514	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0445164974024776	0.708475082266733	265	10662	8300	83427756.121939	23
20231121 052532	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.048402808052439	0.699443871885884	14	18226	9380	83057221.3893054	24
20231121 053342	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1000	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0412906528513476	0.726029124259716	11	12578	9956	81115916.041979	25
